,n_train,smooth,depth,width,lr,best_epoch,R2,MSE
169,32.0,0.0,3.0,3.0,0.001,0.0,-1533.6947021484375,5161.48779296875
170,32.0,0.0,3.0,3.0,0.01,21058.0,-1.3306550979614258,7.838462829589844
171,32.0,0.0,3.0,4.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
172,32.0,0.0,3.0,4.0,0.001,44.0,-162.6944580078125,550.5374755859375
173,32.0,0.0,3.0,4.0,0.01,6194.0,0.9656841158866882,0.11541115492582321
174,32.0,0.0,3.0,16.0,0.0001,417.0,-76.6905746459961,261.2890625
175,32.0,0.0,3.0,16.0,0.001,642.0,0.54682457447052,1.5241204500198364
176,32.0,0.0,3.0,16.0,0.01,213.0,-7.065141677856445,27.124696731567383
177,32.0,0.0,3.0,32.0,0.0001,55.0,-116.06480407714844,393.7125244140625
178,32.0,0.0,3.0,32.0,0.001,202.0,-2.957624673843384,13.31028938293457
179,32.0,0.0,3.0,32.0,0.01,129.0,0.5309756398200989,1.5774234533309937
180,32.0,0.0,4.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
181,32.0,0.0,4.0,3.0,0.001,16150.0,-1.3399436473846436,7.869702339172363
182,32.0,0.0,4.0,3.0,0.01,0.0,-1533.6947021484375,5161.48779296875
183,32.0,0.0,4.0,4.0,0.0001,99770.0,-1.3400497436523438,7.870059490203857
184,32.0,0.0,4.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
185,32.0,0.0,4.0,4.0,0.01,18042.0,-1.3400018215179443,7.869897365570068
186,32.0,0.0,4.0,16.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
187,32.0,0.0,4.0,16.0,0.001,0.0,-1533.6947021484375,5161.48779296875
188,32.0,0.0,4.0,16.0,0.01,0.0,-1533.6947021484375,5161.48779296875
189,32.0,0.0,4.0,32.0,0.0001,188.0,-122.25809478759766,414.54180908203125
190,32.0,0.0,4.0,32.0,0.001,0.0,-1533.6947021484375,5161.48779296875
191,32.0,0.0,4.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
192,32.0,0.001,1.0,3.0,0.0001,0.0,-159.12435913085938,538.530517578125
193,32.0,0.001,1.0,3.0,0.001,3035.0,0.9971412420272827,0.009614547714591026
194,32.0,0.001,1.0,3.0,0.01,17840.0,-1.339991807937622,7.869864463806152
195,32.0,0.001,1.0,4.0,0.0001,1781.0,-148.91835021972656,504.20562744140625
196,32.0,0.001,1.0,4.0,0.001,973.0,0.43526124954223633,1.8993302583694458
197,32.0,0.001,1.0,4.0,0.01,3277.0,0.9793031215667725,0.06960777193307877
198,32.0,0.001,1.0,16.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
199,32.0,0.001,1.0,16.0,0.001,0.0,-1532.967529296875,5159.0419921875
200,32.0,0.001,1.0,16.0,0.01,0.0,-1533.6947021484375,5161.48779296875
201,32.0,0.001,1.0,32.0,0.0001,337.0,-60.41924285888672,206.56529235839844
202,32.0,0.001,1.0,32.0,0.001,422.0,0.9194712042808533,0.2708345353603363
203,32.0,0.001,1.0,32.0,0.01,161.0,-0.03277444839477539,3.47342848777771
204,32.0,0.001,2.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
205,32.0,0.001,2.0,3.0,0.001,17335.0,-1.339982271194458,7.8698320388793945
206,32.0,0.001,2.0,3.0,0.01,119.0,-4.880513668060303,19.777353286743164
207,32.0,0.001,2.0,4.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
